THE    DH_IY
MONOPOLISED    M_AH AH_N N_AA AA_P P_AH AH_L L_AH AH_S S_T
MONOPOLISE    M_AH AH_N N_AA AA_P P_AH AH_L L_AH AH_S
MONOPHYSITES    M_AA AA_N N_AH AH_F F_IH IH_Z Z_IH IH_T T_S
MONOPHYSITE    M_AA AA_N N_AH AH_F F_IH IH_Z Z_AH AH_T
MONONGAHELA    M_AH AH_N N_AO AO_NG NG_G G_AH AH_HH HH_EH EH_IY IY_L L_AH
MONOMANIAC    M_AO AO_UH UH_N N_AO AO_UH UH_M M_EH EH_IY IY_N N_IY IY_AE AE_K
MONOLITHIC    M_AA AA_N N_AH AH_L L_IH IH_TH TH_IH IH_K
MONOGAMOUS    M_AH AH_N N_AA AA_G G_AH AH_M M_AH AH_S
MONOGAMIST    M_AH AH_N N_AA AA_G G_AH AH_M M_IH IH_S S_T
MONODY    M_AA AA_N N_AH AH_D D_IY
MONKSTOWN    M_AH AH_NG NG_K K_S S_T T_AA AA_UH UH_N
MONKEYISH    M_AH AH_NG NG_K K_IY IY_IH IH_SH
MONKEYING    M_AH AH_NG NG_K K_IY IY_IH IH_NG
MONITORY    M_AA AA_N N_AH AH_T T_UH UH_R R_IY
MONITORED    M_AA AA_N N_AH AH_T T_UH UH_R R_D
MONITIONS    M_AH AH_N N_IH IH_SH SH_AH AH_N N_Z
MONIST    M_AA AA_N N_AH AH_S S_T
MONISM    M_AA AA_N N_IH IH_Z Z_AH AH_M
MONGST    M_AO AO_NG NG_S S_T
MONGS    M_AO AO_NG NG_Z
MONGOOSE    M_AA AA_NG NG_G G_UW UW_S
MONGOL    M_AA AA_NG NG_G G_AH AH_L
MONEYLENDER    M_AH AH_N N_IY IY_L L_EH EH_N N_D D_UH UH_R
MONDAYS    M_AH AH_N N_D D_IY IY_Z
MOND    M_AA AA_N N_D
MONBODDO    M_AA AA_N N_B B_AA AA_D D_AO AO_UH
MONARQUE    M_AA AA_N N_AA AA_R R_K
MONARCH'S    M_AA AA_N N_AA AA_R R_K K_S
MONARCHIST    M_AA AA_N N_AA AA_R R_K K_IH IH_S S_T
MONAKER    M_AA AA_N N_AH AH_K K_UH UH_R
MONADNOCK    M_AA AA_N N_AE AE_D D_N N_AA AA_K
MOMUS    M_AO AO_UH UH_M M_AH AH_S
MOLTKE    M_AO AO_UH UH_L L_T T_K K_IY
MOLOCH    M_AO AO_L L_AH AH_K
MOLLY'S    M_AA AA_L L_IY IY_Z
MOLLYCODDLE    M_AA AA_L L_IY IY_K K_AA AA_D D_AH AH_L
MOLLUSC    M_AA AA_L L_AH AH_S S_K
MOLLIE'S    M_AA AA_L L_IY IY_Z
MOLINA    M_AH AH_L L_IY IY_N N_AH
MOLIE    M_AO AO_UH UH_L L_IY
MOLESKIN    M_AH AH_L L_EH EH_S S_K K_IH IH_N
MOLDERS    M_AO AO_UH UH_L L_D D_UH UH_R R_Z
MOISTENS    M_AO AO_IY IY_S S_AH AH_N N_Z
MOIKA    M_AO AO_IY IY_K K_AH
MOHUN    M_AO AO_UH UH_HH HH_UW UW_N
MOHEGANS    M_AO AO_UH UH_HH HH_EH EH_IY IY_G G_AH AH_N N_Z
MOGADOR    M_AO AO_UH UH_G G_AH AH_D D_AO AO_R
MOERIS    M_AO AO_UH UH_UH UH_R R_IH IH_S
MODULATING    M_AO AO_JH JH_UW UW_L L_EH EH_IY IY_T T_IH IH_NG
MODULATE    M_AO AO_JH JH_Y Y_UW UW_L L_EH EH_IY IY_T
MODRED    M_AA AA_D D_R R_IH IH_D
MODOCS    M_AO AO_UH UH_D D_AA AA_K K_S
MODISHLY    M_AA AA_D D_IH IH_SH SH_L L_IY
MODIN    M_AA AA_D D_AH AH_N
MODESTE'S    M_AO AO_UH UH_D D_EH EH_S S_T T_IY IY_Z
MODERNIST    M_AA AA_D D_UH UH_R R_N N_AH AH_S S_T
MODERNISM    M_AA AA_D D_UH UH_R R_N N_IH IH_Z Z_AH AH_M
MODERATO    M_AA AA_D D_UH UH_R R_AA AA_T T_AO AO_UH
MODERATING    M_AA AA_D D_UH UH_R R_EH EH_IY IY_T T_IH IH_NG
MODELING    M_AA AA_D D_L L_IH IH_NG
MOCKINGBIRDS    M_AA AA_K K_IH IH_NG NG_B B_UH UH_R R_D D_Z
MOCKER    M_AA AA_K K_UH UH_R
MOCK'D    M_AA AA_K K_D
MOCHI    M_AO AO_UH UH_CH CH_IY
MOBILIZATION    M_AO AO_UH UH_B B_AH AH_L L_IH IH_Z Z_EH EH_IY IY_SH SH_AH AH_N
MOBILISE    M_AO AO_UH UH_B B_AH AH_L L_AA AA_IY IY_Z
MOATED    M_AO AO_UH UH_T T_IH IH_D
MOANINGLY    M_AO AO_UH UH_N N_IH IH_NG NG_L L_IY
MOABITES    M_AO AO_UH UH_AE AE_B B_AA AA_IY IY_T T_S
MOA    M_AO AO_UH UH_AH
MNESTHEUS    M_AH AH_N N_EH EH_S S_TH TH_IY IY_AH AH_S
M'M    M_M
M'KAY    M_K K_EH EH_IY
MIXUP    M_IH IH_K K_S S_AH AH_P
MITYLENE    M_AA AA_IY IY_T T_AH AH_L L_IY IY_N
MITTENED    M_IH IH_T T_AH AH_N N_D
MITTED    M_IH IH_T T_IH IH_D
MITIGATING    M_IH IH_T T_AH AH_G G_EH EH_IY IY_T T_IH IH_NG
MITIGATES    M_IH IH_T T_AH AH_G G_EH EH_IY IY_T T_S
MITHRAISM    M_IH IH_TH TH_R R_EH EH_IY IY_IH IH_Z Z_AH AH_M
MISTRUSTING    M_IH IH_S S_T T_R R_AH AH_S S_T T_IH IH_NG
MISTREATMENT    M_IH IH_S S_T T_R R_IY IY_T T_M M_AH AH_N N_T
MISTREATED    M_IH IH_S S_T T_R R_IY IY_T T_IH IH_D
MISTRANSLATIONS    M_IH IH_S S_T T_R R_AE AE_N N_Z Z_L L_EH EH_IY IY_SH SH_AH AH_N N_Z
MISTRANSLATION    M_IH IH_S S_T T_R R_AE AE_N N_Z Z_L L_EH EH_IY IY_SH SH_AH AH_N
MISTLIKE    M_IH IH_S S_T T_L L_AA AA_IY IY_K
MISTINESS    M_IH IH_S S_T T_IY IY_N N_AH AH_S
MISTED    M_IH IH_S S_T T_IH IH_D
MISSPENT    M_IH IH_S S_S S_P P_EH EH_N N_T
MISSOUF    M_AH AH_Z Z_F
MISSIVES    M_IH IH_S S_IH IH_V V_Z
MISSIS'LL    M_IH IH_S S_IH IH_L
MISSIN    M_IH IH_S S_IH IH_N
MISSIE    M_IH IH_S S_IY
MISREPRESENTS    M_IH IH_S S_R R_EH EH_P P_R R_AH AH_Z Z_EH EH_N N_T T_S
MISREPRESENTING    M_IH IH_S S_R R_EH EH_P P_R R_AH AH_Z Z_EH EH_N N_T T_IH IH_NG
MISQUOTES    M_IH IH_S S_K K_W W_AO AO_UH UH_T T_S
MISQUOTATIONS    M_IH IH_S S_K K_W W_AO AO_UH UH_T T_EH EH_IY IY_SH SH_AH AH_N N_Z
MISQUOTATION    M_IH IH_S S_K K_W W_AO AO_UH UH_T T_EH EH_IY IY_SH SH_AH AH_N
MISPRIZED    M_IH IH_S S_P P_R R_AA AA_IY IY_Z Z_D
MISPRINT    M_IH IH_S S_P P_R R_IH IH_N N_T
MISOGYNISTIC    M_IH IH_Z Z_AH AH_JH JH_IH IH_N N_IH IH_S S_T T_IH IH_K
MISOGYNIST    M_IH IH_Z Z_AH AH_JH JH_IH IH_N N_IH IH_S S_T
MISNOMER    M_IH IH_S S_N N_AO AO_UH UH_M M_UH UH_R
MISMANAGING    M_IH IH_S S_M M_AE AE_N N_IH IH_JH JH_IH IH_NG
MISMANAGEMENT    M_IH IH_S S_M M_AE AE_N N_IH IH_JH JH_M M_AH AH_N N_T
MISJUDGING    M_IH IH_S S_JH JH_AH AH_JH JH_IH IH_NG
MISJUDGE    M_IH IH_S S_JH JH_AH AH_JH
MISINFORMATION    M_IH IH_S S_IH IH_N N_F F_UH UH_R R_M M_EH EH_IY IY_SH SH_AH AH_N
MISGIVES    M_IH IH_S S_G G_IH IH_V V_Z
MISFIT    M_IH IH_S S_F F_IH IH_T
MISFIRE    M_IH IH_S S_F F_AA AA_IY IY_UH UH_R
MISER'S    M_IH IH_Z Z_UH UH_R R_Z
MISERLINESS    M_AA AA_IY IY_Z Z_UH UH_R R_L L_IY IY_N N_AH AH_S
MISER'BLE    M_IH IH_Z Z_R R_B B_AH AH_L
MISERABLES    M_IH IH_Z Z_UH UH_R R_AA AA_B
MISDOINGS    M_IH IH_S S_D D_UW UW_IH IH_NG NG_Z
MISDOING    M_IH IH_S S_D D_UW UW_IH IH_NG
MISDIRECTING    M_IH IH_S S_D D_IH IH_R R_EH EH_K K_T T_IH IH_NG
MISDEMEANOURS    M_IH IH_S S_D D_AH AH_M M_IY IY_N N_AO AO_R R_Z
MISDEMEANOUR    M_IH IH_S S_D D_AH AH_M M_IY IY_N N_UH UH_R
MISCONCEIVED    M_IH IH_S S_K K_AH AH_N N_S S_IY IY_V V_D
MISCONCEIVE    M_IH IH_S S_K K_AH AH_N N_S S_IY IY_V
MISCHIEF'S    M_IH IH_S S_CH CH_IY IY_F F_S
MISCHANCES    M_IH IH_S S_K K_AE AE_N N_S S_IH IH_Z
MISCHA    M_IH IH_SH SH_AH
MISCELLANEOUSLY    M_IH IH_S S_AH AH_L L_EH EH_IY IY_N N_IY IY_AH AH_S S_L L_IY
MISCARRY    M_IH IH_S S_K K_EH EH_R R_IY
MISCARRIAGE    M_IH IH_S S_K K_EH EH_R R_AH AH_JH
MISCALCULATIONS    M_IH IH_S S_K K_AE AE_L L_K K_Y Y_AH AH_L L_EH EH_IY IY_SH SH_AH AH_N N_Z
MISBELIEVERS    M_IH IH_S S_B B_AH AH_L L_IY IY_V V_UH UH_R R_Z
MISBEHAVIOR    M_IH IH_S S_B B_IY IY_HH HH_EH EH_IY IY_V V_Y Y_UH UH_R
MISBEHAVING    M_IH IH_S S_B B_IY IY_HH HH_EH EH_IY IY_V V_IH IH_NG
MISAPPROPRIATION    M_IH IH_S S_AH AH_P P_R R_AO AO_UH UH_P P_R R_IY IY_EH EH_IY IY_SH SH_AH AH_N
MISAPPROPRIATED    M_IH IH_S S_AH AH_P P_R R_AO AO_UH UH_P P_R R_IY IY_EH EH_IY IY_T T_IH IH_D
MISAPPREHENSIONS    M_IH IH_S S_AE AE_P P_R R_IH IH_HH HH_EH EH_N N_SH SH_AH AH_N N_Z
MISALLIANCE    M_IH IH_S S_AE AE_L L_IY IY_AH AH_N N_S
MISADVENTURES    M_IH IH_S S_AH AH_D D_V V_EH EH_N N_CH CH_UH UH_R R_Z
MIS'ABLE    M_IH IH_S S_IH IH_AH AH_B B_AH AH_L
MIRY    M_IH IH_R R_IY
MIRROR'S    M_IH IH_R R_UH UH_R R_Z
MIRRORING    M_IH IH_R R_UH UH_R R_IH IH_NG
MIRANDOLA    M_UH UH_R R_AE AE_N N_D D_AH AH_L L_AH
MIRANDA'S    M_UH UH_R R_AE AE_N N_D D_AH AH_Z
MIRABEAU    M_IH IH_R R_AA AA_B B_AO AO_UH
MIRA    M_IH IH_R R_AH
MIQUELON    M_IY IY_K K_EH EH_L L_AH AH_N
MINYAN    M_IH IH_N N_Y Y_AH AH_N
MINUTIA    M_IH IH_N N_UW UW_SH SH_IY IY_AH
MINTS    M_IH IH_N N_T T_S
MINTO    M_IH IH_N N_T T_AO AO_UH
MINTING    M_IH IH_N N_T T_IH IH_NG
MINTED    M_IH IH_N N_T T_IH IH_D
MINSTRELSY    M_IH IH_N N_S S_T T_R R_AH AH_L L_Z Z_IY
MINSK    M_IH IH_N N_S S_K
MINS    M_IH IH_N N_Z
MINOT'S    M_IH IH_N N_AH AH_T T_S
MINOR'S    M_AA AA_IY IY_N N_UH UH_R R_Z
MINORS    M_AA AA_IY IY_N N_UH UH_R R_Z
MINORITIES    M_AA AA_IY IY_N N_AO AO_R R_AH AH_T T_IY IY_Z
MINNITS    M_IH IH_N N_IH IH_T T_S
MINNESOTA'S    M_IH IH_N N_AH AH_S S_AO AO_UH UH_T T_AH AH_Z
MINISH    M_IH IH_N N_IH IH_SH
MINIMIZE    M_IH IH_N N_AH AH_M M_AA AA_IY IY_Z
MINIMISED    M_IH IH_N N_AH AH_M M_AH AH_S S_T
MINIMISE    M_IH IH_N N_AH AH_M M_AA AA_IY IY_Z
MINETTE    M_IH IH_N N_EH EH_T
MINETTA    M_IH IH_N N_EH EH_T T_AH
MINED    M_AA AA_IY IY_N N_D
MINDLESS    M_AA AA_IY IY_N N_D D_L L_AH AH_S
MINDES    M_AA AA_IY IY_N N_D D_Z
MINDERS    M_AA AA_IY IY_N N_D D_UH UH_R R_Z
MINDER    M_AA AA_IY IY_N N_D D_UH UH_R
MIND'    M_AA AA_IY IY_N N_D
MINCIO    M_IH IH_N N_S S_IY IY_AO AO_UH
MINCH    M_IH IH_N N_CH
MIMULUS    M_IH IH_M M_Y Y_AH AH_L L_AH AH_S
MIMOSA    M_IH IH_M M_AO AO_UH UH_S S_AH
MIMICS    M_IH IH_M M_IH IH_K K_S
MIMICRIES    M_IH IH_M M_IH IH_K K_R R_AA AA_IY IY_Z
MIMICKED    M_IH IH_M M_IH IH_K K_T
MIMES    M_AA AA_IY IY_M M_Z
MILVAIN    M_IH IH_L L_V V_EH EH_IY IY_N
MILROY    M_IH IH_L L_R R_AO AO_IY
MILO    M_AA AA_IY IY_L L_AO AO_UH
MILNE    M_IH IH_L L_N
MILMAN    M_IH IH_L L_M M_AH AH_N
MILLIPEDES    M_IH IH_L L_AH AH_P P_EH EH_IY IY_D D_EH EH_S
MILLIONTH    M_IH IH_L L_Y Y_AH AH_N N_TH
MILLIONNAIRES    M_IH IH_L L_AH AH_N N_EH EH_R R_Z
MILLIONNAIRE    M_IH IH_L L_AH AH_N N_EH EH_R
MILLINERS    M_IH IH_L L_IH IH_N N_UH UH_R R_Z
MILLIGRAM    M_IH IH_L L_AH AH_G G_R R_AE AE_M
MILLIE    M_IH IH_L L_IY
MILLENNIA    M_AH AH_L L_EH EH_N N_IY IY_AH
MILLE    M_IH IH_L
MILLBANK    M_IH IH_L L_B B_AE AE_NG NG_K
MILKWHITE    M_IH IH_L L_K K_W W_AA AA_IY IY_T
MILKSOP    M_IH IH_L L_K K_S S_AA AA_P
MILKMAN'S    M_IH IH_L L_K K_M M_AE AE_N N_Z
MILKE    M_IH IH_L L_K
MILITIAMAN    M_AH AH_L L_IH IH_SH SH_AH AH_M M_AH AH_N
MILITATED    M_IH IH_L L_AH AH_T T_EH EH_IY IY_T T_IH IH_D
MILITARIST    M_IH IH_L L_AH AH_T T_UH UH_R R_IH IH_S S_T
MILETUS    M_IH IH_L L_IY IY_T T_AH AH_S
MILE'S    M_AA AA_IY IY_L L_Z
MILDRED'S    M_IH IH_L L_D D_R R_IH IH_D D_Z
MILDMAY    M_AA AA_IY IY_L L_D D_M M_EH EH_IY
MILBOROUGH    M_IH IH_L L_B B_UH UH_R R_AO AO_UH
MILAN'S    M_IH IH_L L_AA AA_N N_Z
MILANO    M_IY IY_L L_AA AA_N N_AO AO_UH
MIKADO'S    M_IH IH_K K_AA AA_D D_AO AO_UH UH_Z
MIHIEL    M_IH IH_HH HH_IY IY_L
MIHALOVNA    M_IH IH_HH HH_AH AH_L L_AA AA_V V_N N_AH
MIGUEL    M_IH IH_G G_EH EH_L
MIGHTINESS    M_AA AA_IY IY_T T_IY IY_N N_AH AH_S
MIGHTIE    M_AA AA_IY IY_T T_IY
MIGHTA    M_AA AA_IY IY_T T_AH
MIEUX    M_Y Y_UW
MIDWIFE    M_IH IH_D D_W W_AA AA_IY IY_F
MIDSTREAM    M_IH IH_D D_S S_T T_R R_IY IY_M
MIDSHIPMAN    M_IH IH_D D_SH SH_IH IH_P P_M M_AH AH_N
MIDPOINT    M_IH IH_D D_P P_AO AO_IY IY_N N_T
MIDHURST    M_IH IH_D D_HH HH_UH UH_R R_S S_T
MIDGES    M_IH IH_JH JH_IH IH_Z
MIDGE    M_IH IH_JH
MIDDLEWEIGHT    M_IH IH_D D_AH AH_L L_W W_EH EH_IY IY_T
MIDDLESEX    M_IH IH_D D_AH AH_L L_S S_EH EH_K K_S
MIDDLES    M_IH IH_D D_AH AH_L L_Z
MIDDEST    M_IH IH_D D_AH AH_S S_T
MIDAIR    M_IH IH_D D_EH EH_R
MIDAFTERNOON    M_IH IH_D D_AE AE_F F_T T_UH UH_R R_N N_UW UW_N
MICROSCOPIST    M_AA AA_IY IY_K K_R R_AH AH_S S_K K_AA AA_P P_IH IH_S S_T
MICROSCOPES    M_AA AA_IY IY_K K_R R_AH AH_S S_K K_AO AO_UH UH_P P_S
MICROMETER    M_AA AA_IY IY_K K_R R_AA AA_M M_AH AH_T T_UH UH_R
MICROCOSM    M_AA AA_IY IY_K K_R R_AH AH_K K_AA AA_Z Z_AH AH_M
MICMACS    M_IY IY_K K_M M_AE AE_K K_S
MICKEWA    M_IH IH_K K_AH AH_W W_AA
MICHON    M_IH IH_CH CH_AH AH_N
MICAWBERS    M_IY IY_K K_AO AO_B B_UH UH_R R_Z
MICAIAH    M_IY IY_K K_EH EH_IY IY_AH
MICAH    M_AA AA_IY IY_K K_AH
MICACEOUS    M_IY IY_K K_EH EH_IY IY_SH SH_AH AH_S
MIASMATIC    M_AA AA_IY IY_AE AE_Z Z_M M_AE AE_T T_IH IH_K
MIASMAS    M_AA AA_IY IY_AE AE_Z Z_M M_AH AH_Z
MIAMI    M_AA AA_IY IY_AE AE_M M_IY
MEW'S    M_Y Y_UW UW_Z
MEWES    M_Y Y_UW UW_Z
MEUSE    M_Y Y_UW UW_Z
MEUNG    M_Y Y_UW UW_NG
MEUM    M_IY IY_AH AH_M
MEUDON    M_Y Y_UW UW_D D_AH AH_N
METTLESOME    M_EH EH_T T_AH AH_L L_S S_AH AH_M
METROPOLITANS    M_EH EH_T T_R R_AH AH_P P_AA AA_L L_AH AH_T T_AH AH_N N_Z
METRICAL    M_EH EH_T T_R R_IH IH_K K_AH AH_L
METRIC    M_EH EH_T T_R R_IH IH_K
METING    M_AH AH_T T_IH IH_NG
METICULOUSLY    M_AH AH_T T_IH IH_K K_Y Y_AH AH_L L_AH AH_S S_L L_IY
METHUSELAH    M_AH AH_TH TH_Y Y_UW UW_Z Z_AH AH_L L_AH
METHUSALEM    M_AH AH_TH TH_Y Y_UW UW_S S_AH AH_L L_AH AH_M
METHINKETH    M_EH EH_TH TH_IH IH_NG NG_K K_IH IH_TH
METHANE    M_EH EH_TH TH_EH EH_IY IY_N
METEOR'S    M_IY IY_T T_IY IY_UH UH_R R_Z
METEOROLOGISTS    M_IY IY_T T_IY IY_UH UH_R R_AA AA_L L_AH AH_JH JH_IH IH_S S_T T_S
METEORITE    M_IY IY_T T_IY IY_AO AO_R R_AA AA_IY IY_T
METEORIC    M_IY IY_T T_IY IY_AO AO_R R_IH IH_K
METAPHYSICALLY    M_EH EH_T T_AH AH_F F_IH IH_Z Z_IH IH_K K_L L_IY
METAPHYSIC    M_EH EH_T T_AH AH_F F_IH IH_Z Z_IH IH_K
METAPHORICAL    M_EH EH_T T_AH AH_F F_AO AO_R R_IH IH_K K_AH AH_L
METALLURGY    M_EH EH_T T_AH AH_L L_UH UH_R R_JH JH_IY
METALLIFEROUS    M_EH EH_T T_AH AH_L L_IH IH_F F_UH UH_R R_AH AH_S
METALLICK    M_AH AH_T T_AE AE_L L_IH IH_K
MESTER    M_EH EH_S S_T T_UH UH_R
MESSROOM    M_EH EH_S S_R R_UW UW_M
MESSMATE    M_EH EH_S S_M M_EH EH_IY IY_T
MESSIRE    M_EH EH_S S_IH IH_R R_IY
MESSALINA    M_EH EH_S S_AH AH_L L_IY IY_N N_AH
MESOPOTAMIAN    M_EH EH_S S_AH AH_P P_AH AH_T T_EH EH_IY IY_M M_IY IY_AH AH_N
MESMER'S    M_EH EH_Z Z_M M_UH UH_R R_Z
MESMERIST    M_EH EH_Z Z_M M_UH UH_R R_IH IH_S S_T
MESILF    M_EH EH_S S_IH IH_L L_F
MESEEMS    M_EH EH_S S_IY IY_M M_Z
MERWIN    M_UH UH_R R_W W_IH IH_N
MERRY'S    M_EH EH_R R_IY IY_Z
MERRYLEGS    M_EH EH_R R_IY IY_L L_EH EH_G G_Z
MERRITT    M_EH EH_R R_IH IH_T
MERRILL    M_EH EH_R R_AH AH_L
MERRIEST    M_EH EH_R R_IY IY_AH AH_S S_T
MERRIE    M_EH EH_R R_IY
MEROZ    M_EH EH_R R_AO AO_UH UH_Z
MEROPS    M_UH UH_R R_AA AA_P P_S
MEROM    M_EH EH_R R_AH AH_M
MERO    M_EH EH_R R_AO AO_UH
MERLIN'S    M_UH UH_R R_L L_IH IH_N N_Z
MERIWETHER    M_EH EH_R R_IH IH_W W_EH EH_DH DH_UH UH_R
MERGER    M_UH UH_R R_JH JH_UH UH_R
MERGANSER    M_UH UH_R R_G G_AE AE_N N_S S_UH UH_R
MERETRIX    M_EH EH_R R_EH EH_T T_R R_IH IH_K K_S
MEREDITH'S    M_EH EH_R R_EH EH_D D_IH IH_TH TH_S
MERCHANDISING    M_UH UH_R R_CH CH_AH AH_N N_D D_AA AA_IY IY_Z Z_IH IH_NG
MERCATOR'S    M_UH UH_R R_K K_EH EH_IY IY_T T_UH UH_R R_Z
MERCATO    M_UH UH_R R_K K_AA AA_T T_AO AO_UH
MEPHITIC    M_EH EH_F F_IH IH_T T_IH IH_K
MEPHISTOPHELEAN    M_EH EH_F F_IH IH_S S_T T_AH AH_F F_EH EH_L L_IY IY_AH AH_N
MEOWED    M_IY IY_AA AA_UH UH_D
MENZIES    M_EH EH_N N_Z Z_IY IY_Z
MENT    M_EH EH_N N_T
MENSTRUUM    M_EH EH_N N_S S_T T_R R_UW UW_AH AH_M
MENSERVANTS    M_EH EH_N N_S S_UH UH_R R_V V_AH AH_N N_T T_S
MENO    M_EH EH_IY IY_N N_AO AO_UH
MENGS    M_EH EH_NG NG_Z
MENG    M_EH EH_NG
MENELIK    M_EH EH_N N_EH EH_L L_IH IH_K
MENDOZA    M_EH EH_N N_D D_AO AO_UH UH_Z Z_AH
MENDES    M_EH EH_IY IY_N N_D D_EH EH_S
MENDELSSOHN'S    M_EH EH_N N_D D_AH AH_L L_S S_AH AH_N N_Z
MENDELSSOHN    M_EH EH_N N_D D_AH AH_L L_S S_AH AH_N
MENDACITY    M_EH EH_N N_D D_AE AE_S S_IH IH_T T_IY
MENARD    M_IH IH_N N_AA AA_R R_D
MEMORY'S    M_EH EH_M M_UH UH_R R_IY IY_Z
MEMORIZING    M_EH EH_M M_UH UH_R R_AA AA_IY IY_Z Z_IH IH_NG
MEMORIZED    M_EH EH_M M_UH UH_R R_AA AA_IY IY_Z Z_D
MEMORIZE    M_EH EH_M M_UH UH_R R_AA AA_IY IY_Z
MEMORIAM    M_AH AH_M M_AO AO_R R_IY IY_AH AH_M
MEMORANDUMS    M_EH EH_M M_UH UH_R R_AE AE_N N_D D_AH AH_M M_Z
MEMORABILIA    M_EH EH_M M_UH UH_R R_AH AH_B B_IY IY_L L_Y Y_AH
MEMENTOS    M_IH IH_M M_EH EH_N N_T T_AO AO_UH UH_Z
MEMENTO    M_IH IH_M M_EH EH_N N_T T_AO AO_UH
MEMBERSHIPS    M_EH EH_M M_B B_UH UH_R R_SH SH_IH IH_P P_S
MELVIN    M_EH EH_L L_V V_IH IH_N
MELVILLE'S    M_EH EH_L L_V V_IH IH_L L_Z
MELTON    M_EH EH_L L_T T_AH AH_N
MELPOMENE    M_EH EH_L L_P P_AH AH_M M_IY IY_N
MELODRAMAS    M_EH EH_L L_AH AH_D D_R R_AA AA_M M_AH AH_Z
MELODIST    M_EH EH_L L_AH AH_D D_AH AH_S S_T
MELODIOUSLY    M_AH AH_L L_AO AO_UH UH_D D_IY IY_AH AH_S S_L L_IY
MELODIC    M_AH AH_L L_AA AA_D D_IH IH_K
MELMOTH    M_EH EH_L L_M M_AH AH_TH
MELLOWING    M_EH EH_L L_AO AO_UH UH_IH IH_NG
MELLING    M_EH EH_L L_IH IH_NG
MELLIFLUOUS    M_EH EH_L L_IH IH_F F_L L_W W_AH AH_S
MELLDRUM    M_EH EH_L L_D D_R R_AH AH_M
ME'LL    M_AH AH_L
MELITA    M_EH EH_L L_IY IY_T T_AH
MELIOT    M_EH EH_L L_IY IY_AH AH_T
MELIBOEUS    M_EH EH_L L_IH IH_B B_UW UW_S
MELIAN    M_IY IY_L L_IY IY_AH AH_N
MELCHIOR'S    M_EH EH_IY IY_L L_CH CH_IY IY_UH UH_R R_Z
MELANESIA    M_EH EH_L L_AH AH_N N_IY IY_ZH ZH_AH
MELANCHOLIES    M_EH EH_L L_AH AH_N N_K K_AA AA_L L_IY IY_Z
MELANCHOLIA    M_EH EH_L L_AH AH_N N_K K_AO AO_UH UH_L L_IY IY_AH
MELAMPUS    M_EH EH_L L_AH AH_M M_P P_AH AH_S
MEL    M_EH EH_L
MEISSNER    M_AA AA_IY IY_S S_N N_UH UH_R
MEIGS    M_EH EH_IY IY_G G_Z
MEHR    M_EH EH_R
MEHITABLE    M_EH EH_HH HH_IH IH_T T_AH AH_B B_AH AH_L
MEHEVI    M_AH AH_HH HH_IY IY_V V_IY
MEG'S    M_EH EH_G G_Z
MEGARIANS    M_EH EH_G G_EH EH_R R_IY IY_AH AH_N N_Z
MEGANTIC    M_EH EH_G G_AH AH_N N_T T_IH IH_K
MEGALOMANIA    M_EH EH_G G_AH AH_L L_AO AO_UH UH_M M_EH EH_IY IY_N N_IY IY_AH
MEGALITH    M_EH EH_G G_AH AH_L L_IH IH_TH
MEGAERA    M_EH EH_G G_EH EH_R R_AH
MEETETH    M_IY IY_T T_IH IH_TH
MEER    M_IY IY_UH UH_R
MEEKEST    M_IY IY_K K_AH AH_S S_T
MEDWAY    M_EH EH_D D_W W_EH EH_IY
MEDIUMSHIP    M_IY IY_D D_IY IY_AH AH_M M_SH SH_IH IH_P
MEDIUM'S    M_IY IY_D D_IY IY_AH AH_M M_Z
MEDIUMISTIC    M_IY IY_D D_IY IY_AH AH_M M_IH IH_S S_T T_IH IH_K
MEDICS    M_EH EH_D D_IH IH_K K_S
MEDICO    M_EH EH_D D_IH IH_K K_AO AO_UH
MEDICIS    M_EH EH_D D_AH AH_S S_AH AH_S
MEDICATRIX    M_EH EH_D D_IH IH_K K_AH AH_T T_R R_IH IH_K K_S
MEDICATED    M_EH EH_D D_IH IH_K K_EH EH_IY IY_T T_IH IH_D
MEDICAMENTS    M_AH AH_D D_IH IH_K K_AH AH_M M_AH AH_N N_T T_S
MEDIATOR    M_IY IY_D D_IY IY_EH EH_IY IY_T T_UH UH_R
MEDIAN    M_IY IY_D D_IY IY_AH AH_N
MEDFIELD    M_EH EH_D D_F F_IY IY_L L_D
MEDER    M_IY IY_D D_UH UH_R
MEDEAH    M_AH AH_D D_IY IY_AH
MEDE    M_IY IY_D
MECHANISMS    M_EH EH_K K_AH AH_N N_IH IH_Z Z_AH AH_M M_Z
MECCANS    M_EH EH_K K_AH AH_N N_Z
MECANIQUE    M_AH AH_K K_AE AE_N N_IH IH_K
MEATY    M_IY IY_T T_IY
MEASURER    M_EH EH_ZH ZH_UH UH_R R_UH UH_R
MEASLY    M_IY IY_Z Z_L L_IY
MEASLEY    M_IY IY_Z Z_L L_IY
MEASLE    M_IY IY_Z Z_AH AH_L
MEANINGLESSNESS    M_IY IY_N N_IH IH_NG NG_L L_AH AH_S S_N N_AH AH_S
MEANETH    M_IY IY_N N_AH AH_TH
MEANDERS    M_IY IY_AE AE_N N_D D_UH UH_R R_Z
MEANDERED    M_IY IY_AE AE_N N_D D_UH UH_R R_D
MEANDER    M_IY IY_AE AE_N N_D D_UH UH_R
MEALTIME    M_IY IY_L L_T T_AA AA_IY IY_M
